date,population,admission,release
2024-03-26,106537.23512170975,2706.655272950012,3143.350599169479
2024-03-27,106301.31252276301,2912.655272950012,2976.577871896752
2024-03-28,105981.05659048291,2656.3219396166783,3150.3556496745305
2024-03-29,105835.52288042505,3004.8219396166787,2246.35564967453
2024-03-30,106415.98917036722,2826.8219396166787,1425.3556496745298
2024-03-31,107086.45546030937,2094.988606283345,1354.6056496745296
2024-04-01,107481.92175025151,1748.9052729500115,3644.1056496745305
2024-04-02,106703.38804019366,2864.0719396166787,3078.3556496745296
2024-04-03,106449.33766346914,2826.5552729500123,3246.6056496745296
2024-04-04,108111.28728674461,4904.559186844337,3203.7338297136685
2024-04-05,107801.46049123342,2893.9070342024584,2981.9838297136685
2024-04-06,108009.6336957222,3189.997943293368,1352.7338297136685
2024-04-07,108883.056900211,2226.157034202458,1713.019543999383
2024-04-08,109091.3134380331,1929.0737008691247,2944.4004963803354
2024-04-09,108821.31997585525,2669.657034202458,3438.1504963803354
2024-04-10,108410.82651367734,3028.407034202458,2965.5671630470015
2024-04-11,108047.99971816616,2602.740367535791,3337.7338297136685
2024-04-12,107634.88720836923,2924.621319916744,2944.817163047002
2024-04-13,107990.10803190562,3298.329653250077,1442.817163047002
2024-04-14,108733.32885544204,2185.1808437262675,1342.8171630470017
2024-04-15,109352.54967897844,1962.0379865834104,3520.706051935891
2024-04-16,108612.04828029264,2780.2046532500776,3198.206051935891
2024-04-17,108339.04688160683,2926.7046532500776,3296.206051935891
2024-04-18,108048.54548292099,3005.2046532500776,3164.8727186025576
2024-04-19,107859.87741756851,2976.2046532500776,2827.661596792254
2024-04-20,108141.82939715264,3109.613576376382,1449.6615967922544
2024-04-21,109037.7813767368,2345.6135763763814,1438.9949301255876
2024-04-22,109411.62224520979,1812.835798598603,3355.003263458921
2024-04-23,108806.73811368279,2750.119131931937,3250.003263458921
2024-04-24,108516.85398215585,2960.1191319319364,3296.003263458921
2024-04-25,108164.96985062886,2943.1905605033653,3307.1699301255876
2024-04-26,107923.03810005423,3065.2381795509846,2957.6699301255876
2024-04-27,108096.10634947964,3131.2381795509846,1469.6699301255874
2024-04-28,108969.17459890504,2342.238179550984,1488.6699301255874
2024-04-29,109341.74284833044,1861.238179550984,3490.336596792254
2024-04-30,108615.40200684674,2766.9503007631056,3334.6146716585645
2024-05-01,108325.33894314083,3185.7280785408834,3531.5911422468
2024-05-02,107881.47587943489,3087.7280785408834,3190.177561999886
2024-05-03,107971.10047004996,3270.8487847393094,2974.9155338725736
2024-05-04,108440.37149540473,3444.1865592273434,1543.7712039756655
2024-05-05,109534.48788158425,2637.8875901551783,1806.1045373089987
2024-05-06,109653.60426776377,1925.887590155178,3540.4712039756664
2024-05-07,108999.02065394327,2885.8875901551783,3286.4712039756664
2024-05-08,108723.43704012278,2994.912167728143,3225.422048829737
2024-05-09,108367.87339558033,2869.8584042872826,3150.922048829737
2024-05-10,108311.30975103787,3094.8584042872826,3034.088715496403
2024-05-11,108459.74610649543,3182.0250709539496,1406.0887154964032
2024-05-12,109263.18246195297,2209.525070953949,1351.588715496403
2024-05-13,109814.61881741052,1904.525070953949,3469.3494415690107
2024-05-14,109284.02546989778,2938.9227607229263,3430.0161082356776
2024-05-15,108922.09878905167,3068.0894273895933,3338.0161082356776
2024-05-16,108718.17210820559,3133.0894273895933,3371.682774902344
2024-05-17,108512.2454273595,3165.75609405626,3031.182774902344
2024-05-18,108835.81874651341,3354.75609405626,1521.1827749023437
2024-05-19,109764.89206566734,2450.7560940562594,2155.8494415690107
2024-05-20,109607.56538482125,2005.1894273895928,4157.016108235677
2024-05-21,108262.0720373085,2811.5227607229263,3201.016108235677
2024-05-22,108066.57868979577,3004.8560940562597,3283.5161082356776
2024-05-23,107807.08534228298,3024.0227607229263,3413.0161082356776
2024-05-24,107496.59199477025,3102.5227607229263,3053.262669082238
2024-05-25,107615.95261551147,3183.5825490827146,1432.721928341497
2024-05-26,108638.3132362527,2455.0825490827146,1606.388595008164
